Nom du fichier,quick,quickMed
tp1-H10-donnees/testset_100000_0.txt,48897906,44401718
tp1-H10-donnees/testset_100000_10.txt,40974758,38103933
tp1-H10-donnees/testset_100000_11.txt,36132627,38124214
tp1-H10-donnees/testset_100000_12.txt,36168571,38351562
tp1-H10-donnees/testset_100000_13.txt,35103791,41280169
tp1-H10-donnees/testset_100000_14.txt,38116346,43312066
tp1-H10-donnees/testset_100000_15.txt,36710936,41104060
tp1-H10-donnees/testset_100000_16.txt,36798020,38342799
tp1-H10-donnees/testset_100000_17.txt,38718265,37983937
tp1-H10-donnees/testset_100000_18.txt,36802132,38142690
tp1-H10-donnees/testset_100000_19.txt,36496904,41134292
tp1-H10-donnees/testset_100000_1.txt,37524436,44548931
tp1-H10-donnees/testset_100000_20.txt,45566426,43876964
tp1-H10-donnees/testset_100000_21.txt,46067625,43658531
tp1-H10-donnees/testset_100000_22.txt,43812485,41616002
tp1-H10-donnees/testset_100000_23.txt,48615964,42077328
tp1-H10-donnees/testset_100000_24.txt,46197675,42198962
tp1-H10-donnees/testset_100000_25.txt,46198832,43522326
tp1-H10-donnees/testset_100000_26.txt,46150218,41697919
tp1-H10-donnees/testset_100000_27.txt,49115420,42065863
tp1-H10-donnees/testset_100000_28.txt,46289112,42999885
tp1-H10-donnees/testset_100000_29.txt,45403961,41955931
tp1-H10-donnees/testset_100000_2.txt,36220036,42944033
tp1-H10-donnees/testset_100000_3.txt,40517224,43655127
tp1-H10-donnees/testset_100000_4.txt,37437299,45107378
tp1-H10-donnees/testset_100000_5.txt,35982561,42002465
tp1-H10-donnees/testset_100000_6.txt,33131921,43847411
tp1-H10-donnees/testset_100000_7.txt,34093232,43528402
tp1-H10-donnees/testset_100000_8.txt,42671043,44016688
tp1-H10-donnees/testset_100000_9.txt,35723249,43180592
tp1-H10-donnees/testset_10000_0.txt,58421453,70767285
tp1-H10-donnees/testset_10000_10.txt,60020894,70948526
tp1-H10-donnees/testset_10000_11.txt,59790614,70849230
tp1-H10-donnees/testset_10000_12.txt,58735591,70357349
tp1-H10-donnees/testset_10000_13.txt,59763609,70716070
tp1-H10-donnees/testset_10000_14.txt,60518860,70930723
tp1-H10-donnees/testset_10000_15.txt,68751546,70683715
tp1-H10-donnees/testset_10000_16.txt,59470522,70210545
tp1-H10-donnees/testset_10000_17.txt,70234227,71082280
tp1-H10-donnees/testset_10000_18.txt,58903359,70752197
tp1-H10-donnees/testset_10000_19.txt,58825067,70742587
tp1-H10-donnees/testset_10000_1.txt,58436560,70844058
tp1-H10-donnees/testset_10000_20.txt,59423040,70931254
tp1-H10-donnees/testset_10000_21.txt,59289928,69447640
tp1-H10-donnees/testset_10000_22.txt,59411531,70200403
tp1-H10-donnees/testset_10000_23.txt,59417296,69570290
tp1-H10-donnees/testset_10000_24.txt,59521822,69492507
tp1-H10-donnees/testset_10000_25.txt,59105042,70039496
tp1-H10-donnees/testset_10000_26.txt,59600008,69840529
tp1-H10-donnees/testset_10000_27.txt,59786119,70034937
tp1-H10-donnees/testset_10000_28.txt,59498969,70731882
tp1-H10-donnees/testset_10000_29.txt,59560036,70242959
tp1-H10-donnees/testset_10000_2.txt,58467173,70588668
tp1-H10-donnees/testset_10000_3.txt,58516672,70069671
tp1-H10-donnees/testset_10000_4.txt,58511199,69698105
tp1-H10-donnees/testset_10000_5.txt,58381775,69960260
tp1-H10-donnees/testset_10000_6.txt,58536662,70083971
tp1-H10-donnees/testset_10000_7.txt,58628665,70171129
tp1-H10-donnees/testset_10000_8.txt,58640927,71294211
tp1-H10-donnees/testset_10000_9.txt,58434798,70432858
tp1-H10-donnees/testset_1000_0.txt,4999095,6625668
tp1-H10-donnees/testset_1000_10.txt,5953142,6399359
tp1-H10-donnees/testset_1000_11.txt,5119298,6373364
tp1-H10-donnees/testset_1000_12.txt,5086481,6414234
tp1-H10-donnees/testset_1000_13.txt,7402689,6225277
tp1-H10-donnees/testset_1000_14.txt,5470341,6347425
tp1-H10-donnees/testset_1000_15.txt,6469439,6421663
tp1-H10-donnees/testset_1000_16.txt,5944116,6404887
tp1-H10-donnees/testset_1000_17.txt,6221468,6402816
tp1-H10-donnees/testset_1000_18.txt,6148931,6432483
tp1-H10-donnees/testset_1000_19.txt,6114171,6380916
tp1-H10-donnees/testset_1000_1.txt,4907891,6631982
tp1-H10-donnees/testset_1000_20.txt,5582940,6419408
tp1-H10-donnees/testset_1000_21.txt,5956809,6444639
tp1-H10-donnees/testset_1000_22.txt,6094850,6385512
tp1-H10-donnees/testset_1000_23.txt,5150454,6279902
tp1-H10-donnees/testset_1000_24.txt,5709404,6479485
tp1-H10-donnees/testset_1000_25.txt,5859208,6469217
tp1-H10-donnees/testset_1000_26.txt,5893718,6416459
tp1-H10-donnees/testset_1000_27.txt,5959220,6289828
tp1-H10-donnees/testset_1000_28.txt,6077225,6390528
tp1-H10-donnees/testset_1000_29.txt,5721943,6389731
tp1-H10-donnees/testset_1000_2.txt,4859045,6566280
tp1-H10-donnees/testset_1000_3.txt,4998529,6583372
tp1-H10-donnees/testset_1000_4.txt,4907953,6593495
tp1-H10-donnees/testset_1000_5.txt,4912441,6521959
tp1-H10-donnees/testset_1000_6.txt,4902753,6621541
tp1-H10-donnees/testset_1000_7.txt,4945545,6697681
tp1-H10-donnees/testset_1000_8.txt,4881716,6562206
tp1-H10-donnees/testset_1000_9.txt,4850933,6616589
tp1-H10-donnees/testset_500000_0.txt,103785330,133918896
tp1-H10-donnees/testset_500000_10.txt,130441685,93697528
tp1-H10-donnees/testset_500000_11.txt,95607977,107093123
tp1-H10-donnees/testset_500000_12.txt,106718093,107906343
tp1-H10-donnees/testset_500000_13.txt,115569471,105418651
tp1-H10-donnees/testset_500000_14.txt,122209205,103079283
tp1-H10-donnees/testset_500000_15.txt,89562997,106530858
tp1-H10-donnees/testset_500000_16.txt,115862849,111101902
tp1-H10-donnees/testset_500000_17.txt,116032955,99326092
tp1-H10-donnees/testset_500000_18.txt,105992446,102822379
tp1-H10-donnees/testset_500000_19.txt,106015067,102557376
tp1-H10-donnees/testset_500000_1.txt,114988278,132989278
tp1-H10-donnees/testset_500000_20.txt,126574027,107576598
tp1-H10-donnees/testset_500000_21.txt,126219865,108600322
tp1-H10-donnees/testset_500000_22.txt,127517996,99085336
tp1-H10-donnees/testset_500000_23.txt,115443094,110033827
tp1-H10-donnees/testset_500000_24.txt,125229062,110460786
tp1-H10-donnees/testset_500000_25.txt,124848815,108383138
tp1-H10-donnees/testset_500000_26.txt,129965640,111626216
tp1-H10-donnees/testset_500000_27.txt,125358930,108714820
tp1-H10-donnees/testset_500000_28.txt,108204880,100795488
tp1-H10-donnees/testset_500000_29.txt,130669358,112172497
tp1-H10-donnees/testset_500000_2.txt,107929857,134099119
tp1-H10-donnees/testset_500000_3.txt,103320922,134725421
tp1-H10-donnees/testset_500000_4.txt,109734920,134481694
tp1-H10-donnees/testset_500000_5.txt,107470869,133910377
tp1-H10-donnees/testset_500000_6.txt,105553676,133506075
tp1-H10-donnees/testset_500000_7.txt,111298733,141966024
tp1-H10-donnees/testset_500000_8.txt,109405491,132611061
tp1-H10-donnees/testset_500000_9.txt,108166932,133811353
tp1-H10-donnees/testset_50000_0.txt,32310475,35249770
tp1-H10-donnees/testset_50000_10.txt,30716032,41405614
tp1-H10-donnees/testset_50000_11.txt,33153784,36870784
tp1-H10-donnees/testset_50000_12.txt,29361982,36785099
tp1-H10-donnees/testset_50000_13.txt,28273699,41501817
tp1-H10-donnees/testset_50000_14.txt,31776954,41365482
tp1-H10-donnees/testset_50000_15.txt,28526453,37069067
tp1-H10-donnees/testset_50000_16.txt,32871445,36804754
tp1-H10-donnees/testset_50000_17.txt,28407741,36756303
tp1-H10-donnees/testset_50000_18.txt,29471462,36769291
tp1-H10-donnees/testset_50000_19.txt,29230437,38882058
tp1-H10-donnees/testset_50000_1.txt,41939057,37930729
tp1-H10-donnees/testset_50000_20.txt,41339289,35036843
tp1-H10-donnees/testset_50000_21.txt,40928545,32832426
tp1-H10-donnees/testset_50000_22.txt,41821487,37610053
tp1-H10-donnees/testset_50000_23.txt,41531775,32770235
tp1-H10-donnees/testset_50000_24.txt,33243437,34341293
tp1-H10-donnees/testset_50000_25.txt,41348910,40890582
tp1-H10-donnees/testset_50000_26.txt,34086903,32733282
tp1-H10-donnees/testset_50000_27.txt,34080275,34912204
tp1-H10-donnees/testset_50000_28.txt,40940020,33457402
tp1-H10-donnees/testset_50000_29.txt,41279562,30819049
tp1-H10-donnees/testset_50000_2.txt,28723317,43318573
tp1-H10-donnees/testset_50000_3.txt,31443170,37629219
tp1-H10-donnees/testset_50000_4.txt,28580077,37728336
tp1-H10-donnees/testset_50000_5.txt,35774086,39965490
tp1-H10-donnees/testset_50000_6.txt,28940036,39706150
tp1-H10-donnees/testset_50000_7.txt,31240020,37352657
tp1-H10-donnees/testset_50000_8.txt,28942865,39352623
tp1-H10-donnees/testset_50000_9.txt,30664888,40456226
tp1-H10-donnees/testset_5000_0.txt,14109817,16379253
tp1-H10-donnees/testset_5000_10.txt,12791128,14225427
tp1-H10-donnees/testset_5000_11.txt,13045667,14690286
tp1-H10-donnees/testset_5000_12.txt,13506246,14473379
tp1-H10-donnees/testset_5000_13.txt,13410786,16202594
tp1-H10-donnees/testset_5000_14.txt,14341639,16146351
tp1-H10-donnees/testset_5000_15.txt,13501143,14401344
tp1-H10-donnees/testset_5000_16.txt,12866945,16334304
tp1-H10-donnees/testset_5000_17.txt,12982568,16087220
tp1-H10-donnees/testset_5000_18.txt,13946018,14629713
tp1-H10-donnees/testset_5000_19.txt,13829925,14688476
tp1-H10-donnees/testset_5000_1.txt,14262969,16102911
tp1-H10-donnees/testset_5000_20.txt,14433987,16251755
tp1-H10-donnees/testset_5000_21.txt,14388301,14388803
tp1-H10-donnees/testset_5000_22.txt,14407392,14252760
tp1-H10-donnees/testset_5000_23.txt,14417336,16208824
tp1-H10-donnees/testset_5000_24.txt,14375192,16976268
tp1-H10-donnees/testset_5000_25.txt,14439601,17193694
tp1-H10-donnees/testset_5000_26.txt,14481771,17025262
tp1-H10-donnees/testset_5000_27.txt,14460293,16758332
tp1-H10-donnees/testset_5000_28.txt,14418123,16664748
tp1-H10-donnees/testset_5000_29.txt,14323874,14275635
tp1-H10-donnees/testset_5000_2.txt,14078562,16111769
tp1-H10-donnees/testset_5000_3.txt,14417309,16136116
tp1-H10-donnees/testset_5000_4.txt,14715553,16532328
tp1-H10-donnees/testset_5000_5.txt,14090301,16360024
tp1-H10-donnees/testset_5000_6.txt,14548894,16223592
tp1-H10-donnees/testset_5000_7.txt,14371698,16454542
tp1-H10-donnees/testset_5000_8.txt,14691264,17141688
tp1-H10-donnees/testset_5000_9.txt,14338755,16310384
