Nom du fichier,quickSeuil,quickMedSeuil
tp1-H10-donnees/testset_100000_0.txt,81139806,84928219
tp1-H10-donnees/testset_100000_10.txt,78546340,67157888
tp1-H10-donnees/testset_100000_11.txt,71166970,69348131
tp1-H10-donnees/testset_100000_12.txt,65701634,66854233
tp1-H10-donnees/testset_100000_13.txt,73537209,69257245
tp1-H10-donnees/testset_100000_14.txt,74561128,87051374
tp1-H10-donnees/testset_100000_15.txt,74021630,83486103
tp1-H10-donnees/testset_100000_16.txt,67506844,58881795
tp1-H10-donnees/testset_100000_17.txt,77321982,67074695
tp1-H10-donnees/testset_100000_18.txt,69302548,67239969
tp1-H10-donnees/testset_100000_19.txt,80311252,98431054
tp1-H10-donnees/testset_100000_1.txt,79473609,96497503
tp1-H10-donnees/testset_100000_20.txt,80468719,88001125
tp1-H10-donnees/testset_100000_21.txt,89251992,78970782
tp1-H10-donnees/testset_100000_22.txt,92583834,72391502
tp1-H10-donnees/testset_100000_23.txt,79573313,68650092
tp1-H10-donnees/testset_100000_24.txt,86677130,88549100
tp1-H10-donnees/testset_100000_25.txt,82292539,71548255
tp1-H10-donnees/testset_100000_26.txt,79138997,63360295
tp1-H10-donnees/testset_100000_27.txt,96319519,83974863
tp1-H10-donnees/testset_100000_28.txt,70107717,66133725
tp1-H10-donnees/testset_100000_29.txt,75574707,76715994
tp1-H10-donnees/testset_100000_2.txt,83531040,85522916
tp1-H10-donnees/testset_100000_3.txt,74740595,94106431
tp1-H10-donnees/testset_100000_4.txt,82501521,85892507
tp1-H10-donnees/testset_100000_5.txt,87555651,88819358
tp1-H10-donnees/testset_100000_6.txt,74662768,69316996
tp1-H10-donnees/testset_100000_7.txt,74101691,79002018
tp1-H10-donnees/testset_100000_8.txt,77664289,96227999
tp1-H10-donnees/testset_100000_9.txt,79852120,110378396
tp1-H10-donnees/testset_10000_0.txt,86833980,87136172
tp1-H10-donnees/testset_10000_10.txt,77781539,94295442
tp1-H10-donnees/testset_10000_11.txt,95536966,87929299
tp1-H10-donnees/testset_10000_12.txt,78843350,87347416
tp1-H10-donnees/testset_10000_13.txt,89757787,85506961
tp1-H10-donnees/testset_10000_14.txt,81511802,87770218
tp1-H10-donnees/testset_10000_15.txt,93974757,85648309
tp1-H10-donnees/testset_10000_16.txt,80684654,88151945
tp1-H10-donnees/testset_10000_17.txt,93006044,82810891
tp1-H10-donnees/testset_10000_18.txt,95622508,86509004
tp1-H10-donnees/testset_10000_19.txt,78430817,80327317
tp1-H10-donnees/testset_10000_1.txt,81177618,84216040
tp1-H10-donnees/testset_10000_20.txt,87221738,80765766
tp1-H10-donnees/testset_10000_21.txt,86964399,87753914
tp1-H10-donnees/testset_10000_22.txt,81651120,88363657
tp1-H10-donnees/testset_10000_23.txt,80995357,92823496
tp1-H10-donnees/testset_10000_24.txt,80397622,94565634
tp1-H10-donnees/testset_10000_25.txt,87814522,83076378
tp1-H10-donnees/testset_10000_26.txt,81414788,93567020
tp1-H10-donnees/testset_10000_27.txt,82497654,91979229
tp1-H10-donnees/testset_10000_28.txt,81818163,82282132
tp1-H10-donnees/testset_10000_29.txt,86240702,93514063
tp1-H10-donnees/testset_10000_2.txt,84192998,87874723
tp1-H10-donnees/testset_10000_3.txt,79675048,82802398
tp1-H10-donnees/testset_10000_4.txt,85878308,82021998
tp1-H10-donnees/testset_10000_5.txt,85193074,85905835
tp1-H10-donnees/testset_10000_6.txt,84887139,86266337
tp1-H10-donnees/testset_10000_7.txt,79753368,83605091
tp1-H10-donnees/testset_10000_8.txt,83532749,88511221
tp1-H10-donnees/testset_10000_9.txt,81069286,81383937
tp1-H10-donnees/testset_1000_0.txt,13007843,14342813
tp1-H10-donnees/testset_1000_10.txt,11383664,13731164
tp1-H10-donnees/testset_1000_11.txt,12519544,15278285
tp1-H10-donnees/testset_1000_12.txt,11830490,12543149
tp1-H10-donnees/testset_1000_13.txt,13182350,12789413
tp1-H10-donnees/testset_1000_14.txt,13234671,12744595
tp1-H10-donnees/testset_1000_15.txt,16460807,13400734
tp1-H10-donnees/testset_1000_16.txt,10822140,12896896
tp1-H10-donnees/testset_1000_17.txt,12229788,12840765
tp1-H10-donnees/testset_1000_18.txt,12602045,12545050
tp1-H10-donnees/testset_1000_19.txt,12963324,16153506
tp1-H10-donnees/testset_1000_1.txt,13655981,13981776
tp1-H10-donnees/testset_1000_20.txt,14783087,12508791
tp1-H10-donnees/testset_1000_21.txt,20373726,13002622
tp1-H10-donnees/testset_1000_22.txt,16716985,11892784
tp1-H10-donnees/testset_1000_23.txt,12513842,11227850
tp1-H10-donnees/testset_1000_24.txt,15442709,12212434
tp1-H10-donnees/testset_1000_25.txt,12048064,11921816
tp1-H10-donnees/testset_1000_26.txt,15014893,12465592
tp1-H10-donnees/testset_1000_27.txt,16339614,11895828
tp1-H10-donnees/testset_1000_28.txt,15611284,12496776
tp1-H10-donnees/testset_1000_29.txt,17657112,12512198
tp1-H10-donnees/testset_1000_2.txt,14064534,15237417
tp1-H10-donnees/testset_1000_3.txt,15106272,14733986
tp1-H10-donnees/testset_1000_4.txt,13880924,13523755
tp1-H10-donnees/testset_1000_5.txt,13845191,14354607
tp1-H10-donnees/testset_1000_6.txt,14013184,15240884
tp1-H10-donnees/testset_1000_7.txt,14475890,13810688
tp1-H10-donnees/testset_1000_8.txt,14506162,14079316
tp1-H10-donnees/testset_1000_9.txt,12997779,14008596
tp1-H10-donnees/testset_500000_0.txt,224203567,236345770
tp1-H10-donnees/testset_500000_10.txt,295644789,185105031
tp1-H10-donnees/testset_500000_11.txt,214612773,186409325
tp1-H10-donnees/testset_500000_12.txt,194594310,170405468
tp1-H10-donnees/testset_500000_13.txt,239784713,183387568
tp1-H10-donnees/testset_500000_14.txt,253361814,172039909
tp1-H10-donnees/testset_500000_15.txt,197257421,186276644
tp1-H10-donnees/testset_500000_16.txt,218666902,177230291
tp1-H10-donnees/testset_500000_17.txt,221756137,192885236
tp1-H10-donnees/testset_500000_18.txt,194277300,172899555
tp1-H10-donnees/testset_500000_19.txt,194696313,176820855
tp1-H10-donnees/testset_500000_1.txt,250554142,240904017
tp1-H10-donnees/testset_500000_20.txt,269324867,185787767
tp1-H10-donnees/testset_500000_21.txt,257457346,180438366
tp1-H10-donnees/testset_500000_22.txt,234537269,203076888
tp1-H10-donnees/testset_500000_23.txt,229522546,208512002
tp1-H10-donnees/testset_500000_24.txt,264313277,188532641
tp1-H10-donnees/testset_500000_25.txt,259592401,170868663
tp1-H10-donnees/testset_500000_26.txt,246132866,206262102
tp1-H10-donnees/testset_500000_27.txt,268627337,205614136
tp1-H10-donnees/testset_500000_28.txt,194390974,181724400
tp1-H10-donnees/testset_500000_29.txt,267251229,207768062
tp1-H10-donnees/testset_500000_2.txt,233437051,233852318
tp1-H10-donnees/testset_500000_3.txt,233906481,234234373
tp1-H10-donnees/testset_500000_4.txt,222496839,236820031
tp1-H10-donnees/testset_500000_5.txt,238380973,239123077
tp1-H10-donnees/testset_500000_6.txt,229790235,243945271
tp1-H10-donnees/testset_500000_7.txt,233692602,246592383
tp1-H10-donnees/testset_500000_8.txt,248598587,230903344
tp1-H10-donnees/testset_500000_9.txt,237936053,239561370
tp1-H10-donnees/testset_50000_0.txt,55772305,67449596
tp1-H10-donnees/testset_50000_10.txt,56424895,57372560
tp1-H10-donnees/testset_50000_11.txt,51358096,59186695
tp1-H10-donnees/testset_50000_12.txt,52679819,49483676
tp1-H10-donnees/testset_50000_13.txt,50131727,49399773
tp1-H10-donnees/testset_50000_14.txt,55928764,66708632
tp1-H10-donnees/testset_50000_15.txt,49781697,57535835
tp1-H10-donnees/testset_50000_16.txt,52144415,52119348
tp1-H10-donnees/testset_50000_17.txt,46653495,49447427
tp1-H10-donnees/testset_50000_18.txt,58700788,57928553
tp1-H10-donnees/testset_50000_19.txt,51809655,61767896
tp1-H10-donnees/testset_50000_1.txt,66056609,74256744
tp1-H10-donnees/testset_50000_20.txt,62983257,62786112
tp1-H10-donnees/testset_50000_21.txt,64112901,68113363
tp1-H10-donnees/testset_50000_22.txt,59379291,64782866
tp1-H10-donnees/testset_50000_23.txt,63605855,65865936
tp1-H10-donnees/testset_50000_24.txt,68219677,65481637
tp1-H10-donnees/testset_50000_25.txt,74394470,66366812
tp1-H10-donnees/testset_50000_26.txt,67821214,62888847
tp1-H10-donnees/testset_50000_27.txt,59617695,67061133
tp1-H10-donnees/testset_50000_28.txt,67163488,69050007
tp1-H10-donnees/testset_50000_29.txt,64698490,68951477
tp1-H10-donnees/testset_50000_2.txt,57201282,63968940
tp1-H10-donnees/testset_50000_3.txt,66763602,73475224
tp1-H10-donnees/testset_50000_4.txt,61351205,68855813
tp1-H10-donnees/testset_50000_5.txt,60645284,77729998
tp1-H10-donnees/testset_50000_6.txt,60454247,60254168
tp1-H10-donnees/testset_50000_7.txt,59326695,87541567
tp1-H10-donnees/testset_50000_8.txt,51533229,66464430
tp1-H10-donnees/testset_50000_9.txt,61237616,78686308
tp1-H10-donnees/testset_5000_0.txt,30285208,24856757
tp1-H10-donnees/testset_5000_10.txt,30831295,25198991
tp1-H10-donnees/testset_5000_11.txt,28802525,21718739
tp1-H10-donnees/testset_5000_12.txt,30263164,28163301
tp1-H10-donnees/testset_5000_13.txt,28428553,22601725
tp1-H10-donnees/testset_5000_14.txt,28603945,22222947
tp1-H10-donnees/testset_5000_15.txt,28710386,22520334
tp1-H10-donnees/testset_5000_16.txt,26085171,23291984
tp1-H10-donnees/testset_5000_17.txt,24239742,25446488
tp1-H10-donnees/testset_5000_18.txt,29591091,24818812
tp1-H10-donnees/testset_5000_19.txt,20270061,25935495
tp1-H10-donnees/testset_5000_1.txt,23897719,27935500
tp1-H10-donnees/testset_5000_20.txt,25178509,23127812
tp1-H10-donnees/testset_5000_21.txt,25850379,23236475
tp1-H10-donnees/testset_5000_22.txt,31376141,22169205
tp1-H10-donnees/testset_5000_23.txt,28554403,30192913
tp1-H10-donnees/testset_5000_24.txt,27421508,28245755
tp1-H10-donnees/testset_5000_25.txt,28151021,30523648
tp1-H10-donnees/testset_5000_26.txt,26864860,23700052
tp1-H10-donnees/testset_5000_27.txt,25768106,27188659
tp1-H10-donnees/testset_5000_28.txt,26581795,25171577
tp1-H10-donnees/testset_5000_29.txt,22927987,23113959
tp1-H10-donnees/testset_5000_2.txt,24407091,27235946
tp1-H10-donnees/testset_5000_3.txt,31484472,24254128
tp1-H10-donnees/testset_5000_4.txt,22428227,24854970
tp1-H10-donnees/testset_5000_5.txt,28345543,27104377
tp1-H10-donnees/testset_5000_6.txt,25721968,23850665
tp1-H10-donnees/testset_5000_7.txt,28279033,25728990
tp1-H10-donnees/testset_5000_8.txt,23467276,28221570
tp1-H10-donnees/testset_5000_9.txt,26767444,25831115
