nom,algorithme,seuil,moyenne
1000,quickSeuil,5,8627249
1000,quickSeuil,6,8865863
1000,quickSeuil,7,8747071
1000,quickSeuil,8,8797770
1000,quickSeuil,9,9023363
1000,quickSeuil,10,9258457
1000,quickSeuil,11,9458223
1000,quickSeuil,12,9575989
1000,quickSeuil,13,9701006
1000,quickSeuil,14,9798284
1000,quickSeuil,15,10047674
1000,quickSeuil,16,10294961
1000,quickSeuil,17,10489859
1000,quickSeuil,18,10785214
1000,quickSeuil,19,10697519
1000,quickSeuil,20,11116821
1000,quickSeuil,21,11145282
1000,quickSeuil,22,11094332
1000,quickSeuil,23,11905245
1000,quickSeuil,24,11852358
1000,quickSeuil,25,12553303
1000,quickSeuil,26,12117923
1000,quickSeuil,27,12488580
1000,quickSeuil,28,12870927
1000,quickSeuil,29,13262091
1000,quickSeuil,30,12891297
1000,quickSeuil,31,13312999
1000,quickSeuil,32,13226580
1000,quickSeuil,33,13683930
1000,quickSeuil,34,14190536
1000,quickSeuil,35,14243867
1000,quickSeuil,36,14316105
1000,quickSeuil,37,14947857
1000,quickSeuil,38,14694053
1000,quickSeuil,39,15225194
1000,quickSeuil,40,15230199
1000,quickSeuil,41,15586290
1000,quickSeuil,42,15255025
1000,quickSeuil,43,15534417
1000,quickSeuil,44,15933444
1000,quickSeuil,45,16080337
1000,quickSeuil,46,16556496
1000,quickSeuil,47,16211836
1000,quickSeuil,48,16492621
1000,quickSeuil,49,16812658
1000,quickSeuil,50,16368338
1000,quickSeuil,51,17227707
1000,quickSeuil,52,17489068
1000,quickSeuil,53,17442511
1000,quickSeuil,54,17675960
1000,quickSeuil,55,17150185
1000,quickSeuil,56,17533270
1000,quickSeuil,57,17610318
1000,quickSeuil,58,17514927
1000,quickSeuil,59,17727726
1000,quickSeuil,60,17360115
1000,quickSeuil,61,17666141
1000,quickSeuil,62,17560929
1000,quickSeuil,63,17841208
1000,quickSeuil,64,17833435
1000,quickSeuil,65,17922848
1000,quickSeuil,66,17653253
1000,quickSeuil,67,17416218
1000,quickSeuil,68,17991887
1000,quickSeuil,69,17701756
1000,quickSeuil,70,17849032
1000,quickSeuil,71,18028762
1000,quickSeuil,72,17886611
1000,quickSeuil,73,17869245
1000,quickSeuil,74,17652409
1000,quickSeuil,75,17802827
1000,quickSeuil,76,17863901
1000,quickSeuil,77,17718584
1000,quickSeuil,78,17586629
1000,quickSeuil,79,17740883
1000,quickSeuil,80,18187102
1000,quickSeuil,81,18547860
1000,quickSeuil,82,18249281
1000,quickSeuil,83,17779788
1000,quickSeuil,84,18707575
1000,quickSeuil,85,17873084
1000,quickSeuil,86,17646198
1000,quickSeuil,87,18369447
1000,quickSeuil,88,17896988
1000,quickSeuil,89,18017352
1000,quickSeuil,90,18350977
1000,quickSeuil,91,18337691
1000,quickSeuil,92,18448508
1000,quickSeuil,93,18471938
1000,quickSeuil,94,18323987
1000,quickSeuil,95,18401597
1000,quickSeuil,96,18320340
1000,quickSeuil,97,17841003
1000,quickSeuil,98,18519088
1000,quickSeuil,99,18769650
1000,quickSeuil,100,18302403
1000,quickMedSeuil,5,7890931
1000,quickMedSeuil,6,7949884
1000,quickMedSeuil,7,7941636
1000,quickMedSeuil,8,8019678
1000,quickMedSeuil,9,8151393
1000,quickMedSeuil,10,8244146
1000,quickMedSeuil,11,8366494
1000,quickMedSeuil,12,8425236
1000,quickMedSeuil,13,8578837
1000,quickMedSeuil,14,8818394
1000,quickMedSeuil,15,8912031
1000,quickMedSeuil,16,8980998
1000,quickMedSeuil,17,9132607
1000,quickMedSeuil,18,9379018
1000,quickMedSeuil,19,9466450
1000,quickMedSeuil,20,9807977
1000,quickMedSeuil,21,10088461
1000,quickMedSeuil,22,10132348
1000,quickMedSeuil,23,10477258
1000,quickMedSeuil,24,10561309
1000,quickMedSeuil,25,11048059
1000,quickMedSeuil,26,11165146
1000,quickMedSeuil,27,11109825
1000,quickMedSeuil,28,11470724
1000,quickMedSeuil,29,11493962
1000,quickMedSeuil,30,11809745
1000,quickMedSeuil,31,12247615
1000,quickMedSeuil,32,12133846
1000,quickMedSeuil,33,12281049
1000,quickMedSeuil,34,12641206
1000,quickMedSeuil,35,12809322
1000,quickMedSeuil,36,12795523
1000,quickMedSeuil,37,12972768
1000,quickMedSeuil,38,13310755
1000,quickMedSeuil,39,13461596
1000,quickMedSeuil,40,13710578
1000,quickMedSeuil,41,14033227
1000,quickMedSeuil,42,13982154
1000,quickMedSeuil,43,14274630
1000,quickMedSeuil,44,14557221
1000,quickMedSeuil,45,14558005
1000,quickMedSeuil,46,14755071
1000,quickMedSeuil,47,15005769
1000,quickMedSeuil,48,14951027
1000,quickMedSeuil,49,15270393
1000,quickMedSeuil,50,15871971
1000,quickMedSeuil,51,15762498
1000,quickMedSeuil,52,15650124
1000,quickMedSeuil,53,15593344
1000,quickMedSeuil,54,15970905
1000,quickMedSeuil,55,16043776
1000,quickMedSeuil,56,15995244
1000,quickMedSeuil,57,16124949
1000,quickMedSeuil,58,15848017
1000,quickMedSeuil,59,16120241
1000,quickMedSeuil,60,16220748
1000,quickMedSeuil,61,16202122
1000,quickMedSeuil,62,16343493
1000,quickMedSeuil,63,16305867
1000,quickMedSeuil,64,16263975
1000,quickMedSeuil,65,16341902
1000,quickMedSeuil,66,16440717
1000,quickMedSeuil,67,16528109
1000,quickMedSeuil,68,16407895
1000,quickMedSeuil,69,16483884
1000,quickMedSeuil,70,16649832
1000,quickMedSeuil,71,16540870
1000,quickMedSeuil,72,16611891
1000,quickMedSeuil,73,16854998
1000,quickMedSeuil,74,16307568
1000,quickMedSeuil,75,16819387
1000,quickMedSeuil,76,16613135
1000,quickMedSeuil,77,16400638
1000,quickMedSeuil,78,17326883
1000,quickMedSeuil,79,16752939
1000,quickMedSeuil,80,16333580
1000,quickMedSeuil,81,16976770
1000,quickMedSeuil,82,17033892
1000,quickMedSeuil,83,17504611
1000,quickMedSeuil,84,17230595
1000,quickMedSeuil,85,16974631
1000,quickMedSeuil,86,17245224
1000,quickMedSeuil,87,17070478
1000,quickMedSeuil,88,16981444
1000,quickMedSeuil,89,17333986
1000,quickMedSeuil,90,17181920
1000,quickMedSeuil,91,17150177
1000,quickMedSeuil,92,17289338
1000,quickMedSeuil,93,17408868
1000,quickMedSeuil,94,17180088
1000,quickMedSeuil,95,16992693
1000,quickMedSeuil,96,17698460
1000,quickMedSeuil,97,17222579
1000,quickMedSeuil,98,17868124
1000,quickMedSeuil,99,18244702
1000,quickMedSeuil,100,18054359
5000,quickSeuil,5,24648268
5000,quickSeuil,6,23809484
5000,quickSeuil,7,24800718
5000,quickSeuil,8,24590414
5000,quickSeuil,9,24922311
5000,quickSeuil,10,26375601
5000,quickSeuil,11,25735199
5000,quickSeuil,12,26415881
5000,quickSeuil,13,26518677
