Nom du fichier,vorace,revenuVorace,dynamique,revenuDynamique,local,revenuLocal
Restos/WC-1000-1000-01.txt,11954788,5326,223185182,9122,89778597,6818
Restos/WC-1000-1000-02.txt,13919429,10569,436156350,15825,131024796,11972
Restos/WC-1000-1000-03.txt,15154423,15006,607441687,22002,150730677,18184
Restos/WC-1000-1000-04.txt,18967141,20538,848553997,28887,203144445,24990
Restos/WC-1000-1000-05.txt,15683939,25574,1028839609,34207,215295068,29798
Restos/WC-1000-1000-06.txt,20749887,31029,1219963902,40415,242056013,35324
Restos/WC-1000-1000-07.txt,21899075,35371,1374228039,45548,231073352,40463
Restos/WC-1000-1000-08.txt,26851703,38592,1567006974,50102,270061607,45928
Restos/WC-1000-1000-09.txt,22497673,45969,1821287965,57428,358039555,53381
Restos/WC-1000-1000-10.txt,24044323,50160,1968087458,61155,313051579,57835
Restos/WC-1000-100-01.txt,7288894,529,60494792,911,86547768,664
Restos/WC-1000-100-02.txt,9430403,1049,82352632,1582,100500949,1254
Restos/WC-1000-100-03.txt,11140088,1578,101055774,2176,137819247,1793
Restos/WC-1000-100-04.txt,16757983,2135,119679246,2875,148083785,2426
Restos/WC-1000-100-05.txt,19505620,2627,138925524,3445,172643192,3015
Restos/WC-1000-100-06.txt,22458934,3186,156756700,4069,185945840,3645
Restos/WC-1000-100-07.txt,19086070,3507,172987518,4519,235661065,4150
Restos/WC-1000-100-08.txt,21027484,4230,198787767,5344,282201220,4927
Restos/WC-1000-100-09.txt,21876955,4683,215916190,5844,312254646,5469
Restos/WC-1000-100-10.txt,22255699,5260,230383106,6482,380395708,6014
Restos/WC-1000-10-01.txt,11102475,61,26175275,93,83791449,67
Restos/WC-1000-10-02.txt,12950401,119,39808064,179,109678636,132
Restos/WC-1000-10-03.txt,14598485,163,50050122,253,112007717,191
Restos/WC-1000-10-04.txt,16766151,229,51116881,334,152577852,261
Restos/WC-1000-10-05.txt,16302254,282,46110931,395,169419776,335
Restos/WC-1000-10-06.txt,23099894,342,53212068,449,207618511,386
Restos/WC-1000-10-07.txt,28347140,392,56132275,511,214690350,448
Restos/WC-1000-10-08.txt,27344039,465,54019797,602,247203293,531
Restos/WC-1000-10-09.txt,22483539,508,56010228,662,279748485,592
Restos/WC-1000-10-10.txt,22679234,578,65631070,732,298998352,660
Restos/WC-100-1000-01.txt,1971355,1050,42453431,1552,13226052,1420
Restos/WC-100-1000-02.txt,1665255,1330,46093878,1509,15261443,1453
Restos/WC-100-1000-03.txt,1865288,1538,47825574,2214,23560011,1932
Restos/WC-100-1000-04.txt,1726668,2123,52125978,2944,18839981,2778
Restos/WC-100-1000-05.txt,1921849,2300,49237357,3257,24713462,2855
Restos/WC-100-1000-06.txt,2016421,3568,61819244,4094,24007236,3677
Restos/WC-100-1000-07.txt,1768228,3130,59218721,4178,31077394,3884
Restos/WC-100-1000-08.txt,2072674,3558,49027758,4679,35744251,4504
Restos/WC-100-1000-09.txt,2209472,4639,56961302,6036,28088753,5713
Restos/WC-100-1000-10.txt,2074840,5359,61970888,6294,31973701,5992
Restos/WC-100-100-02.txt,1690696,122,9855773,145,15251050,120
Restos/WC-100-100-03.txt,1796318,155,11883455,212,21345459,196
Restos/WC-100-100-04.txt,1640483,217,13198936,270,21313465,204
Restos/WC-100-100-05.txt,1874722,237,16231994,333,23921075,324
Restos/WC-100-100-06.txt,1800866,311,17575176,412,24405359,365
Restos/WC-100-100-07.txt,2157888,371,18847828,485,25896587,467
Restos/WC-100-100-08.txt,2177738,427,21891032,543,28810523,505
Restos/WC-100-100-09.txt,1899645,475,22619902,574,25893928,533
Restos/WC-100-100-10.txt,2447674,526,25151920,659,38671244,615
Restos/WC-100-10-01.txt,1523387,14,1091067,17,10737880,16
Restos/WC-100-10-02.txt,1554357,12,1060991,18,8653064,15
Restos/WC-100-10-03.txt,1576844,15,1268165,24,11358370,20
Restos/WC-100-10-04.txt,1748661,24,1537153,31,15853911,29
Restos/WC-100-10-05.txt,1757654,34,1909304,46,16894935,40
Restos/WC-100-10-07.txt,1861782,35,2217618,53,20987901,48
Restos/WC-100-10-08.txt,1875139,49,2457707,59,20548270,52
Restos/WC-100-10-09.txt,1899472,55,2872260,71,24306033,64
Restos/WC-100-10-10.txt,1940472,56,2919851,71,25606680,67
Restos/WC-10-1000-02.txt,819154,867,9063537,932,1628106,867
Restos/WC-10-1000-03.txt,1043003,1113,9722075,1170,2296234,1170
Restos/WC-10-1000-04.txt,893419,1023,9691579,1176,2254776,1176
Restos/WC-10-1000-05.txt,858329,1064,9636275,1106,1955421,1049
Restos/WC-10-1000-06.txt,876933,877,9333540,1075,1749349,1075
Restos/WC-10-1000-07.txt,867943,1228,9159301,1228,1838964,1228
Restos/WC-10-1000-08.txt,1053505,935,9550357,1077,1927728,935
Restos/WC-10-1000-09.txt,872993,931,9830636,1085,1864236,1055
Restos/WC-10-100-01.txt,982282,69,890581,109,2161619,101
Restos/WC-10-100-02.txt,1005587,90,904811,113,1822765,90
Restos/WC-10-100-03.txt,912344,101,984214,111,1799843,101
Restos/WC-10-100-04.txt,1135083,73,871667,103,2145165,96
Restos/WC-10-100-05.txt,918989,104,958626,112,2107896,112
Restos/WC-10-100-06.txt,1019747,105,959005,105,1751543,100
Restos/WC-10-100-07.txt,871361,99,900524,120,1726010,103
Restos/WC-10-100-08.txt,945137,75,882386,92,1971985,92
Restos/WC-10-100-09.txt,840004,101,935874,106,1871659,96
Restos/WC-10-100-10.txt,928235,74,893507,111,1938006,105
Restos/WC-10-10-01.txt,904539,13,600806,13,1833281,11
Restos/WC-10-10-02.txt,902119,13,614331,14,2097533,11
Restos/WC-10-10-03.txt,1001931,10,609105,14,2070614,12
Restos/WC-10-10-04.txt,898217,10,608408,13,1745312,10
Restos/WC-10-10-06.txt,863704,13,613960,14,1809155,13
Restos/WC-10-10-07.txt,898399,12,610701,13,1865335,13
Restos/WC-10-10-08.txt,934139,8,629949,12,1827942,9
Restos/WC-10-10-09.txt,881706,10,610490,12,1953275,11
Restos/WC-10-10-10.txt,942333,11,612588,13,2061916,12
Restos/WC-200-1000-01.txt,2340255,1143,43343541,1777,23577221,1430
Restos/WC-200-1000-02.txt,2454142,2099,52156705,2984,32651504,2409
Restos/WC-200-1000-03.txt,3026143,4520,66665654,6029,39672468,5199
Restos/WC-200-1000-05.txt,3080946,5290,70428372,6791,41700983,5971
Restos/WC-200-1000-06.txt,2983333,6081,78049061,8092,49599534,7186
Restos/WC-200-1000-07.txt,3209562,6749,86934008,9156,60741378,8679
Restos/WC-200-1000-08.txt,3074724,7842,91091803,9984,48568084,9112
